Artikelnummer;Bezeichnung;Verkauft1;Verkauft2;Verkauft3;Verkauft4
MF-17852;Bubblegum - Vampire Vape Liquid 10ml, 3 mg;2;5;9;2
MF-17854;Catapult - Vampire Vape Liquid 10ml, 3 mg;6;;15;10
MF-17854.1;Catapult - Vampire Vape Liquid 10ml, 6 mg;8;;10;17
MF-17856;Cherry Tree - Vampire Vape Liquid 10ml, 3 mg;1;8;;
MF-17856.1;Cherry Tree - Vampire Vape Liquid 10ml, 6 mg;10;14;;
MF-17856.2;Cherry Tree - Vampire Vape Liquid 10ml, 12 mg;4;8;5;2
MF-17856.3;Cherry Tree - Vampire Vape Liquid 10ml, 0 mg;5;12;3;
MF-17864;Strawberry Kiwi - Vampire Vape Liquid 10ml, 3 mg;11;;10;18
MF-17864.1;Strawberry Kiwi - Vampire Vape Liquid 10ml, 6 mg;8;11;10;10
MF-17864.2;Strawberry Kiwi - Vampire Vape Liquid 10ml, 12 mg;12;5;;
MF-17866.3;Tropical Tsunami - Vampire Vape Liquid 10ml, 0 mg;2;;;
MF-17873;Black Panther - Dr. Vapes Aroma 14ml;10;;;
MF-17875;EXVAPE eXpromizer TCX Edelstahldochte;1;;;
MF-17876;EXVAPE eXpromizer TCX Deck Isolator;1;;;
MF-17890;Mellow - The Bro´s Tobacco Aroma 3ml;11;11;17;2
MF-17891;Golden - The Bro´s Tobacco Aroma 3ml;7;1;2;
MF-17909;Black Tea - KTS Tea Serie Aroma 10ml;3;3;16;18
MF-17925;Watermelon Breeze - Pod Salt 10ml Liquid, 20mg Nikotinsalz;11;2;7;3
MF-17926;Virginia Gold - Pod Salt 10ml Liquid, 20mg Nikotinsalz;4;14;7;
MF-17932;Geekvape Wenax Stylus Kit, Army Green;1;4;1;2
MF-17932.1;Geekvape Wenax Stylus Kit, Devil Red;8;6;2;3
MF-17932.2;Geekvape Wenax Stylus Kit, Ocean Blau;4;5;4;4
MF-17932.4;Geekvape Wenax Stylus Kit, Granite Grey;5;7;4;2
MF-17932.5;Geekvape Wenax Stylus Kit, Space Grey;6;3;5;3
MF-17939;BLACK ROOK - Dampflion Aroma 10ml;25;342;108;1567
MF-17940;WHITE ROOK - Dampflion Aroma 10ml;32;88;50;426
MF-17958;Xtar X2 Akkuladegerät (2 Schacht);1;;;
MF-17980;Caribbean Ice - Vampire Vape Liquid 10ml, 0 mg;5;7;3;
MF-17980.1;Caribbean Ice - Vampire Vape Liquid 10ml, 3 mg;5;6;5;2
MF-17980.2;Caribbean Ice - Vampire Vape Liquid 10ml, 6 mg;5;10;4;
MF-17981;Aspire Nautilus GT Mini Ersatz Tank, 3,5ml Glas;1;;;
MF-17987;Twelve Monkeys Salts - Matata 10ml, 20 mg;5;3;2;2
MF-17988;Twelve Monkeys Salts - Mangabeys 10ml, 20mg Nikotinsalz;12;1;1;3
MF-17989;Twelve Monkeys Salts - Kanzi 10ml, 20mg Nikotinsalz;3;7;8;4
MF-17990;Twelve Monkeys Salts - Harambae 10ml, 20mg Nikotinsalz;6;;3;2
MF-17991;Twelve Monkeys Salts - Hakuna 10ml, 20mg Nikotinsalz;14;4;3;
MF-17995;Green No. 2 - KTS Line Aroma 10ml;33;2;34;8
MF-17996;Green No. 3 - KTS Line Aroma 10ml;32;9;27;13
MF-17998;ONE Watermelon - Dash Aroma 10ml;15;17;17;4
MF-17999;ONE Watermelon Ice - Dash Aroma 10ml;18;2;16;11
MF-18012;ONE Mango - Dash Aroma 10ml;26;2;21;1
MF-18013;ONE Mango Ice - Dash Aroma 10ml;12;12;13;7
MF-18035;Bunter Beerenmix on ICE - #Schmeckt Aroma 10ml;15;9;9;1
MF-18036;Apfel Wassermelone und Granatapfel on ICE - #Schmeckt Aroma 10ml;20;;10;1
MF-18037;Himbeer Pfirsich on ICE - #Schmeckt Aroma 10ml;12;4;3;1
MF-18038;Blaubeer Zitrone on ICE - #Schmeckt Aroma 10ml;16;12;11;5
MF-18048;Bubble Gum - IVG Aroma 10ml;5;1;3;3
MF-18050;Summer Blaze - IVG Aroma 10ml;10;2;3;6
MF-18051;Kiwi Lemon Kool - IVG Aroma 10ml;6;2;1;7
MF-18052;Chew Strawberry Watermelon - IVG Aroma 10ml;8;1;1;
MF-18069.3;Ambition Mods Hera Mod, Ultem / Frosted;3;;;
MF-18069.8;Ambition Mods Hera Mod, Pink / Frosted;4;;;
MF-18069.9;Ambition Mods Hera Mod, Pink / Polished;1;1;7;
MF-18087;Wirice Launcher Subohm Tank, Blau;1;;;
MF-18087.1;Wirice Launcher Subohm Tank, Lila;2;;;1
MF-18087.4;Wirice Launcher Subohm Tank, Rainbow;1;;;
MF-18104;Voopoo PnP Ersatztank;11;9;13;7
MF-18124;Grape Bomb Original Rezept - K-Boom Aroma 10ml;48;21;31;30
MF-18157;Strawberry Watermelon - Six Licks Aroma 10ml;3;;6;
MF-18158;Pineapple Mango Passionfruit - Six Licks Aroma 10ml;8;2;16;1
MF-18159;Pink Grapefruit Orange - Six Licks Aroma 10ml;2;4;1;4
MF-18167;Lemon Peach Ice - 5EL Aroma 10ml;35;28;11;15
