Artikelnummer;Bezeichnung;Verkauft1;Verkauft2;Verkauft3;Verkauft4
MF-21910;Pink Grapefruit Orange - Six Licks Aroma 10ml;3;;;
MF-21911;Pineapple Mango Passionfruit - Six Licks Aroma 10ml;4;;;
MF-21932;Creamy Bomb Original Rezept - K-Boom Aroma 10ml;1;;8;4
MF-21958;AMAZON WHITE KING - Dampflion Aroma 10ml;182;73;45;5
MF-21959;Mango Maniac - Polar TNT Vape Aroma 10ml;2;;1;
MF-21960;StrawBear - Polar TNT Vape Aroma 10ml;2;1;;3
MF-21961;Purple Snow - Polar TNT Vape Aroma 10ml;2;15;;11
MF-21980;Mezz Mania - Strapped Sodas Nikotinsalz Liquid, 20mg Nikotinsalz;10;6;;
MF-21981;Mango Guava Palava - Strapped Sodas Nikotinsalz Liquid, 20mg Nikotinsalz;10;;5;1
MF-21982;Proper Punchy - Strapped Sodas Nikotinsalz Liquid, 20mg Nikotinsalz;5;;;9
MF-21984;Professor Pep - Strapped Sodas Nikotinsalz Liquid, 20mg Nikotinsalz;10;13;5;
MF-21985;Totally Tropical - Strapped Sodas Nikotinsalz Liquid, 20mg Nikotinsalz;11;;5;
MF-21985.1;Totally Tropical - Strapped Sodas Nikotinsalz Liquid, 10mg Nikotinsalz;1;;5;
MF-21988;GREEN LION - Dampflion Aroma 10ml;1211;43;211;
MF-21989;BLUE LION - Dampflion Aroma 10ml;198;3;137;
MF-21990;RED LION - Dampflion Aroma 10ml;55;30;15;
MF-21991;BLACK LION - Dampflion Aroma 10ml;633;5;5;
MF-21992;BLACK LION + - Dampflion Aroma 10ml;1593;361;514;
MF-21993;Black - Don Cristo Aroma 10ml;8;;6;5
MF-21997;Coffee - Don Cristo Aroma 10ml;15;;;5
MF-22001;Ice - Don Cristo Aroma 10ml;3;3;;
MF-22003;Maple - Don Cristo Aroma 10ml;6;8;1;
MF-22006;Original - Don Cristo Aroma 10ml;5;2;;
MF-22009;Pistachio - Don Cristo Aroma 10ml;20;1;9;6
MF-22010;Sesame - Don Cristo Aroma 10ml;6;5;1;3
MF-22013;XO - Don Cristo Aroma 10ml;9;;2;1
MF-22024;DIY - Seventythirty Base 140ml - 70VG/30PG;6;;;2
MF-22025;DIY - HundredZero Base 140ml - 100VG;1;;;
MF-22026;Deschawü - Förde Liquid Aroma 12ml;10;13;7;5
MF-22031;DIY Shot - FiftyFifty - Nikotinsalz 10ml 20mg/ml;10;4;10;
MF-22033;Frucht - Tom Klark`s Aroma 10ml;4;3;6;
MF-22042;GANGSTERZ - Bottermelk Lemon - Nikotinsalz Liquid 10ml;1;1;;
MF-22043;GANGSTERZ - Bubble Gum Ice - Nikotinsalz Liquid 10ml;1;1;;
MF-22044;GANGSTERZ - Donut Erdbeer - Nikotinsalz Liquid 10ml;5;1;4;
MF-22045;GANGSTERZ - Energy - Nikotinsalz Liquid 10ml;1;;;1
MF-22046;GANGSTERZ - Heidelbeer Waffelcreme - Nikotinsalz Liquid 10ml;2;;;
MF-22049;GANGSTERZ - Kirsch Joghurt - Nikotinsalz Liquid 10ml;3;;2;
MF-22050;GANGSTERZ - Spaghetti Eis - Nikotinsalz Liquid 10ml;4;;1;
MF-22051;GANGSTERZ - Tabak Apfel - Nikotinsalz Liquid 10ml;10;10;4;9
MF-22052;GANGSTERZ - Tabak - Nikotinsalz Liquid 10ml;5;;7;
MF-22053;GANGSTERZ - Tropical Mix- Nikotinsalz Liquid 10ml;1;;2;
MF-22054;GANGSTERZ - Vanille Cola - Nikotinsalz Liquid 10ml;2;;1;
MF-22056;GANGSTERZ - Waldmeister Ice - Nikotinsalz Liquid 10ml;1;1;4;
MF-22057;GANGSTERZ - Zitronen Sorbet - Nikotinsalz Liquid 10ml;6;;10;
MF-22058;GANGSTERZ - Waldmeister Zitronenkuchen - Nikotinsalz Liquid 10ml;1;2;;
MF-22061;GANGSTERZ - Eukalyptus Minze - Nikotinsalz Liquid 10ml;1;;;1
MF-22062;GANGSTERZ - Kaktusfeige - Nikotinsalz Liquid 10ml;3;;;
MF-22064;GANGSTERZ - Vanilla Custard - Nikotinsalz Liquid 10ml;2;;;
MF-22070;Fids-Paff Base 70VG/30PG 100ml;75;33;53;
MF-22071;Fids-Paff Base 50PG/50VG 100ml;75;75;71;
MF-22072;Aspire Cyber G Pod Kit, Pink;6;1;2;1
MF-22072.1;Aspire Cyber G Pod Kit, Black;7;;2;3
MF-22072.2;Aspire Cyber G Pod Kit, Silver;1;;1;
MF-22072.3;Aspire Cyber G Pod Kit, Blue;1;;1;1
MF-22072.5;Aspire Cyber G Pod Kit, Hunter-Green;2;1;2;1
MF-22073.1;Aspire TG Pod Tank Verdampfer, 1,0 Ohm Mesh Coil;3;9;15;18
MF-22100;Blue Rapsberry Ice - Dr. Frost Liquid 100ml 0mg;1;1;0;1
MF-22102;Energy Ice - Dr. Frost Liquid 100ml 0mg;1;2;1;7
MF-22103;Lemonade Ice - Dr. Frost Liquid 100ml 0mg;1;1;4;1
MF-22104;Pink Soda - Dr. Frost Liquid 100ml 0mg;1;;0;
MF-22131;DIY Shot - FiftyFifty - 10ml 18mg/ml;1;;;
MF-22147;Blue Lemonade - Fresh & Delicious - Dexter's Juice Lab Aroma 5ml;9;5;1;1
MF-22148;Crazy Stinger - Fresh & Delicious - Dexter's Juice Lab Aroma 5ml;8;;1;
MF-22149;Fragonita - Fresh & Delicious - Dexter's Juice Lab Aroma 5ml;8;2;;1
MF-22150;Red Apple - Fresh & Delicious - Dexter's Juice Lab Aroma 5ml;1;1;;
MF-22151;Wonderberries - Fresh & Delicious - Dexter's Juice Lab Aroma 5ml;3;1;5;
MF-22152;Water - Fresh & Delicious - Dexter's Juice Lab Aroma 5ml;3;3;;
MF-22153;Spearmint - Fresh & Delicious - Dexter's Juice Lab Aroma 5ml;2;4;6;1
MF-22154;Popdrop Basis 50VG/50PG 30ml;44;10;28;5
MF-22155;Popdrop Basis 70VG/30PG 30ml;43;;26;6
MF-22156;Popdrop Nikotin-Shot 50/50 10ml 20mg/ml;4;66;134;
MF-22157;Popdrop Nikotin-Shot 70/30 10ml 20mg/ml;9;18;27;20
MF-22159;Popdrop Nikotinsalz-Shot 50/50 10ml 20mg/ml;34;8;13;
MF-22173;Uwell Crown M Pod Kit, Blau;2;1;;
MF-22173.1;Uwell Crown M Pod Kit, Orange;2;;1;
MF-22173.2;Uwell Crown M Pod Kit, Schwarz;3;;1;
MF-22174;Uwell Crown M Cartridge 2Stk.;6;7;;
MF-22175;Uwell Crown M Ersatzverdampferkopf 4Stk., 0,6 Ohm Mesh Coil;3;4;3;1
MF-22175.1;Uwell Crown M Ersatzverdampferkopf 4Stk., Twin 0,8/0,4 Ohm Mesh Coil;11;5;;
MF-22181;Applegizer - PJ Empire Aroma 10ml;10;3;2;3
MF-22182;Indigo Flow - PJ Empire Aroma 10ml;12;1;7;
MF-22184;Berry Burst - Rocket Empire Aroma 10ml;1;3;9;1
MF-22210;Apple Mint - Evergreen Aroma 30ml;1;;;
MF-22211;Lime Mint - Evergreen Aroma 30ml;41;16;32;14
MF-22212;Mango Mint - Evergreen Aroma 30ml;18;16;34;25
MF-22213;Melon Mint - Evergreen Aroma 30ml;70;47;20;21
MF-22214;Red Berries - SC Red Line - Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;3;10;6;12
MF-22214.1;Red Berries - SC Red Line - Nikotinsalz Liquid 10ml, 10mg Nikotinsalz;4;5;1;
MF-22215;Spearmint - SC Red Line - Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;4;4;3;2
MF-22215.1;Spearmint - SC Red Line - Nikotinsalz Liquid 10ml, 10mg Nikotinsalz;1;1;1;1
MF-22216;Watermelon - SC Red Line - Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;15;4;8;17
MF-22216.1;Watermelon - SC Red Line - Nikotinsalz Liquid 10ml, 10mg Nikotinsalz;10;3;4;
MF-22217;Citrus - SC Red Line - Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;12;4;4;3
MF-22218;Coconut Melon - SC Red Line - Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;14;12;4;2
MF-22218.1;Coconut Melon - SC Red Line - Nikotinsalz Liquid 10ml, 10mg Nikotinsalz;12;6;;
MF-22219.1;Blueberry - SC Red Line - Nikotinsalz Liquid 10ml, 10mg Nikotinsalz;6;7;8;1
MF-22220;Banana Ice - SC Red Line - Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;14;6;10;7
MF-22220.1;Banana Ice - SC Red Line - Nikotinsalz Liquid 10ml, 10mg Nikotinsalz;4;4;6;2
MF-22221;Orange Vanilla - SC Red Line - Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;17;6;2;6
MF-22222;Cherry Cola - SC Red Line - Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;10;2;7;1
MF-22222.1;Cherry Cola - SC Red Line - Nikotinsalz Liquid 10ml, 10mg Nikotinsalz;7;1;9;6
MF-22223;Strong Cassis - SC Red Line - Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;11;9;16;13
MF-22223.1;Strong Cassis - SC Red Line - Nikotinsalz Liquid 10ml, 10mg Nikotinsalz;9;9;8;1
MF-22224;Double Apple - SC Red Line - Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;11;6;6;12
MF-22224.1;Double Apple - SC Red Line - Nikotinsalz Liquid 10ml, 10mg Nikotinsalz;6;3;6;10
MF-22225.1;Peach Passion Fruit - SC Red Line - Nikotinsalz Liquid 10ml, 10mg Nikotinsalz;5;4;8;2
MF-22227;Aspire Gotek X Kit, Transparent;9;6;8;7
MF-22227.1;Aspire Gotek X Kit, Transparent-schwarz;11;6;5;13
MF-22227.2;Aspire Gotek X Kit, Transparent-gold;8;5;2;8
MF-22227.3;Aspire Gotek X Kit, Transparent-blau;9;9;6;6
MF-22228;Aspire GoTek 0,8 Ohm Pod (2 Stück);4;75;71;69
MF-22230;Drive By Melon Ice - GANGGANG Aroma 10ml;1;1;;
MF-22241;Spearmint - IVG Aroma 10ml;13;7;7;10
MF-22253;Testamon - UB Fighters - 5ml Aroma;1;2;1;
MF-22255;Elfbar ELFA Basisgerät, Black;67;54;57;23
MF-22255.1;Elfbar ELFA Basisgerät, Orange;5;6;26;4
MF-22255.2;Elfbar ELFA Basisgerät, Navy Blue;44;40;22;16
MF-22255.3;Elfbar ELFA Basisgerät, Aurora Blue;41;28;33;7
MF-22255.4;Elfbar ELFA Basisgerät, White;61;12;21;18
MF-22255.5;Elfbar ELFA Basisgerät, Aurora Purple;7;34;31;23
MF-22256;ElfBar ELFA Prefilled Pod 2ml 2er Pack, Cola;66;42;20;89
MF-22256.1;ElfBar ELFA Prefilled Pod 2ml 2er Pack, Watermelon;150;20;260;100
MF-22256.10;ElfBar ELFA Prefilled Pod 2ml 2er Pack, Elfergy;93;58;54;26
MF-22256.11;ElfBar ELFA Prefilled Pod 2ml 2er Pack, Cranberry Grape;124;;;37
MF-22256.12;ElfBar ELFA Prefilled Pod 2ml 2er Pack, Blueberry Cotton Candy;84;58;100;38
MF-22256.2;ElfBar ELFA Prefilled Pod 2ml 2er Pack, Strawberry Kiwi;156;;;53
MF-22256.3;ElfBar ELFA Prefilled Pod 2ml 2er Pack, Pink Lemonade;147;6;;61
MF-22256.4;ElfBar ELFA Prefilled Pod 2ml 2er Pack, Strawberry Ice Cream;55;70;99;19
MF-22256.5;ElfBar ELFA Prefilled Pod 2ml 2er Pack, Blue Razz Lemonade;191;21;;45
MF-22256.6;ElfBar ELFA Prefilled Pod 2ml 2er Pack, Blueberry Sour Raspberry;158;;268;60
MF-22256.7;ElfBar ELFA Prefilled Pod 2ml 2er Pack, Kiwi Passion Fruit Guava;116;;284;58
MF-22256.8;ElfBar ELFA Prefilled Pod 2ml 2er Pack, Blueberry;48;;242;71
MF-22256.9;ElfBar ELFA Prefilled Pod 2ml 2er Pack, Banana;90;66;92;19
MF-22260;Buttermilch Zitrone - Nebelfee - Nikotinsalz Liquid 10ml, 0 mg;1;2;4;3
MF-22260.1;Buttermilch Zitrone - Nebelfee - Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;3;1;;5
MF-22260.2;Buttermilch Zitrone - Nebelfee - Nikotinsalz Liquid 10ml, 10mg Nikotinsalz;2;;7;3
MF-22261.1;Doppel Minze - Nebelfee - Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;1;8;6;13
MF-22261.2;Doppel Minze - Nebelfee - Nikotinsalz Liquid 10ml, 10mg Nikotinsalz;2;8;5;7
MF-22262;Eiskaffee - Nebelfee - Nikotinsalz Liquid 10ml, 0 mg;1;8;;8
MF-22262.1;Eiskaffee - Nebelfee - Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;7;13;7;13
MF-22263.1;Erdbeermilch - Nebelfee - Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;16;15;19;3
MF-22264.1;Erfrischender Beerenmix - Nebelfee - Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;14;6;7;9
MF-22264.2;Erfrischender Beerenmix - Nebelfee - Nikotinsalz Liquid 10ml, 10mg Nikotinsalz;6;6;8;5
MF-22265;Frischer Minz Tabak - Nebelfee - Nikotinsalz Liquid 10ml, 0 mg;3;;2;5
MF-22265.1;Frischer Minz Tabak - Nebelfee - Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;3;;1;
MF-22265.2;Frischer Minz Tabak - Nebelfee - Nikotinsalz Liquid 10ml, 10mg Nikotinsalz;3;;1;10
MF-22266;Himbeer Wassermelone - Nebelfee - Nikotinsalz Liquid 10ml, 0 mg;3;10;3;3
MF-22266.1;Himbeer Wassermelone - Nebelfee - Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;2;6;;11
MF-22266.2;Himbeer Wassermelone - Nebelfee - Nikotinsalz Liquid 10ml, 10mg Nikotinsalz;2;8;3;8
MF-22267;Kalte Litschi Granatapfel - Nebelfee - Nikotinsalz Liquid 10ml, 0 mg;5;5;3;5
MF-22267.1;Kalte Litschi Granatapfel - Nebelfee - Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;3;6;8;3
MF-22267.2;Kalte Litschi Granatapfel - Nebelfee - Nikotinsalz Liquid 10ml, 10mg Nikotinsalz;10;8;1;8
MF-22268;Kalte Mango - Nebelfee - Nikotinsalz Liquid 10ml, 0 mg;6;5;3;2
MF-22268.1;Kalte Mango - Nebelfee - Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;3;6;2;5
MF-22268.2;Kalte Mango - Nebelfee - Nikotinsalz Liquid 10ml, 10mg Nikotinsalz;5;9;5;3
MF-22269.1;Käsekuchen Deluxe - Nebelfee - Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;10;12;14;3
MF-22269.2;Käsekuchen Deluxe - Nebelfee - Nikotinsalz Liquid 10ml, 10mg Nikotinsalz;1;10;8;3
MF-22270.1;Maracuja Vanilleeis - Nebelfee - Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;4;7;4;10
MF-22271;Rhabarber Vanillecreme - Nebelfee - Nikotinsalz Liquid 10ml, 0 mg;2;;4;2
MF-22271.2;Rhabarber Vanillecreme - Nebelfee - Nikotinsalz Liquid 10ml, 10mg Nikotinsalz;3;1;6;2
MF-22272;Vanille Rum Tabak - Nebelfee - Nikotinsalz Liquid 10ml, 0 mg;3;;6;2
MF-22272.1;Vanille Rum Tabak - Nebelfee - Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;12;10;5;2
MF-22272.2;Vanille Rum Tabak - Nebelfee - Nikotinsalz Liquid 10ml, 10mg Nikotinsalz;5;5;3;2
MF-22273;Vanille Tabak - Nebelfee - Nikotinsalz Liquid 10ml, 0 mg;4;10;;5
MF-22273.1;Vanille Tabak - Nebelfee - Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;8;8;2;19
MF-22273.2;Vanille Tabak - Nebelfee - Nikotinsalz Liquid 10ml, 10mg Nikotinsalz;6;5;8;13
MF-22274;Waldmeister Vanille - Nebelfee - Nikotinsalz Liquid 10ml, 0 mg;2;4;;4
MF-22274.1;Waldmeister Vanille - Nebelfee - Nikotinsalz Liquid 10ml, 20mg Nikotinsalz;3;11;2;11
MF-22292;Drachenblut Sweet - Crazy Flavour Aroma 10ml;1;;;
MF-22293;Drachenblut Classic - Crazy Flavour Aroma 10ml;1;;1;
MF-22296;Totally Tropical - Strapped Sodas Aroma 10ml;5;9;2;
MF-22301;Original - Don Cristo Aroma 10ml;3;;;
MF-22303.2;Eisiger Schurke - Tom Klark`s Liquid 10ml, 6 mg;2;2;;
MF-22303.3;Eisiger Schurke - Tom Klark`s Liquid 10ml, 12mg;7;1;;
MF-22304.3;Grober Schurke - Tom Klark`s Liquid 10ml, 12mg;5;;;3
MF-22305.3;Zärtlicher Schurke - Tom Klark`s Liquid 10ml, 12mg;5;;4;
MF-22306.2;Aspire AGT Tank Verdampfer, Edelstahl;1;;;
MF-22308;Aspire ASE Ersatzverdampferköpfe 5st, 0,3 Ohm;3;1;1;
MF-22308.2;Aspire ASE Ersatzverdampferköpfe 5st, 0,35 Ohm;5;;1;
MF-22328;Classic - The Bro´s Tobacco Aroma 3ml;3;;;
MF-22332;Mellow - The Bro´s Tobacco Aroma 3ml;1;;;
MF-22337;Green Homeboy - Gang Juice Aroma 20ml;3;1;;
MF-22338;Green Homeboy Iced - Gang Juice Aroma 20ml;1;;;4
MF-22339;Purple Homeboy - Gang Juice Aroma 20ml;6;1;;
MF-22340;White Homeboy - Gang Juice Aroma 20ml;1;1;1;
MF-22342;Pink Homeboy - Gang Juice Aroma 20ml;2;1;2;
MF-22350;Dragon Drop - Big Bottle Aroma 10ml;4;;;
MF-22354;Tabak No2 - Classic Dampf Co. Aroma 10ml;2;10;30;
MF-22355;Vanille - Classic Dampf Co. Aroma 10ml;9;16;8;3
MF-22358;Butterscotch Tabak - Classic Dampf Co. Nic Salt Liquid 10ml, 20mg Nikotinsalz;1;;1;
MF-22359;Butterscotch Tabak - Classic Dampf Co. Aroma 10ml;2;;;
MF-22360;Vanille-Tabak mit Rum - Classic Dampf Co. Aroma 10ml;3;;;
MF-22362;Green Homeboy - Classic Dampf Co. Nic Salt Liquid 10ml, 20mg Nikotinsalz;2;;;
MF-22363;Green Homeboy Iced - Classic Dampf Co. Nic Salt Liquid 10ml, 20mg Nikotinsalz;4;1;;
MF-22364.1;Purple Homeboy - Classic Dampf Co. Nic Salt Liquid 10ml, 10mg Nikotinsalz;1;;;1
MF-22365;Vanille Tabak mit Rum - Classic Dampf Co. Nic Salt Liquid 10ml, 20mg Nikotinsalz;1;;;
MF-22368.1;Orange - Refresh Gazoz Hybrid Nikotinsalz Liquid 10ml, 20 mg Hybrid;1;;1;2
MF-22371;Nevoks Feelin C1 Pod Kit, Black Clear;2;;;
MF-22371.5;Nevoks Feelin C1 Pod Kit, Crystal Clear;1;;;
MF-22372;Nevoks Feeling C1 Leerpod ohne Coil;1;;;
MF-22373;Berried Alive - Six Licks Nikotinsalz Liquid 10ml, 20 mg;1;;2;12
MF-22375;PASSION8 - Six Licks Nikotinsalz Liquid 10ml, 20 mg;2;1;;
MF-22377;Cherry Cola - Strapped STIX - Einweg E-Zigarette, 20mg Nikotinsalz;2;5;6;
MF-22380;Peach Lime - Strapped STIX - Einweg E-Zigarette, 20mg Nikotinsalz;2;;;
MF-22381;Vanilla Cola - Strapped STIX - Einweg E-Zigarette, 20mg Nikotinsalz;4;1;;
MF-22384;Black Pudding - KTS Nic Salt Liquid 10ml;1;;;
MF-22386;Melone Tea - KTS Nic Salt Liquid 10ml;1;;1;
MF-22387;Strawberry Kiwi - Strapped STIX - Einweg E-Zigarette, 20mg Nikotinsalz;1;1;;
MF-22388;Orange Cola - Strapped STIX - Einweg E-Zigarette, 20mg Nikotinsalz;4;1;;1
MF-22389;Mango Guava - Strapped STIX - Einweg E-Zigarette, 20mg Nikotinsalz;1;;;
MF-22392;Voopoo Vinci 3 Pod Kit, carbon-fiber-blue;4;4;0;
MF-22392.1;Voopoo Vinci 3 Pod Kit, aurora-red;3;1;2;1
MF-22392.2;Voopoo Vinci 3 Pod Kit, aurora-blue;1;2;1;
MF-22392.4;Voopoo Vinci 3 Pod Kit, carbon-fiber-black;2;4;3;2
MF-22393;Voopoo Vinci 3 Pod Tank - ohne Coil;9;3;1;2
MF-22396;Freezy Guava - MNKY Vape Aroma 10ml;1;5;1;
MF-22397;Freezy Pineapple - MNKY Vape Aroma 10ml;1;;1;
MF-22399;Freezy Grape - MNKY Vape Aroma 10ml;1;2;3;3
MF-22400;Freezy Honeydew - MNKY Vape Aroma 10ml;2;;4;2
MF-22401;Freezy Mango - MNKY Vape Aroma 10ml;3;2;4;
MF-22402;Banana Milkshake - Holy Cow Aroma 10ml;8;14;11;2
MF-22403;Melon Milkshake - Holy Cow Aroma 10ml;10;3;1;
MF-22404;Peanut Butter Milkshake - Holy Cow Aroma 10ml;5;3;2;1
MF-22405;Pistachio Almond Milkshake - Holy Cow Aroma 10ml;7;11;2;2
MF-22406;Salted Caramel Milkshake - Holy Cow Aroma 10ml;13;4;5;2
MF-22407;Strawberry Milkshake - Holy Cow Aroma 10ml;13;8;6;5
MF-22408;Grape Lychee Lemon - Fruit Bowl Aroma 10ml;2;2;1;8
MF-22409;Blackcurrant Grape Woodruff - Fruit Bowl Aroma 10ml;5;4;2;3
MF-22410;Honeydew Cactus Mango - Fruit Bowl Aroma 10ml;2;1;3;3
MF-22411;Kiwi Banana Green Apple - Fruit Bowl Aroma 10ml;7;1;1;3
MF-22412;Orange Pineapple Pomegranate - Fruit Bowl Aroma 10ml;3;;;3
MF-22413;Redcurrant Pineapple Tangerine - Fruit Bowl Aroma 10ml;1;;;4
MF-22414;Purple Pawn - Dampflion Aroma 10ml;407;30;16;
MF-22415;Green Pawn - Dampflion Aroma 10ml;256;3;23;
MF-22416;Red Pawn - Dampflion Aroma 10ml;100;33;10;
MF-22417;Kirschlolli - Kirschlolli Aroma 10ml;3;6;21;21
MF-22418;Kirschlolli Cool - Kirschlolli Aroma 10ml;16;12;13;19
MF-22419;Peanut Tabak & Co. - KTS Nic Salt Liquid 10ml;2;;;
MF-22422;Waldemar Min-Z - KTS Nic Salt Liquid 10ml;1;1;;
MF-22426;Yellow Line - KTS Nic Salt Liquid 10ml;2;;;
MF-22427;Voopoo Argus G Pod Kit, Space-Grey;1;;6;2
MF-22427.1;Voopoo Argus G Pod Kit, aurora-blue;1;1;;2
MF-22427.2;Voopoo Argus G Pod Kit, gloss-black;7;3;3;4
MF-22427.3;Voopoo Argus G Pod Kit, glow-pink;1;;1;
MF-22427.4;Voopoo Argus G Pod Kit, racing-green;2;1;2;2
MF-22427.6;Voopoo Argus G Pod Kit, satin-blue;2;1;2;1
MF-22428;Voopoo Argus SE Pod Kit, Braun;2;2;2;
MF-22428.2;Voopoo Argus SE Pod Kit, Schwarz;2;2;3;1
MF-22428.3;Voopoo Argus SE Pod Kit, Shiny Blue;1;;;
MF-22430;Marshmallow Man 3 - Pod Salt Fusion 20mg 10ml Liquid;16;1;;1
MF-22431;Eleaf IORE Lite 2 Kit, Pink;2;;;
MF-22431.2;Eleaf IORE Lite 2 Kit, Blue;1;;;
MF-22432;Eleaf IORE Lite 2 Ersatzpod 2st.;3;;;
MF-22433;Coco Sun - Pod Salt X 10ml Liquid, 20mg Nikotinsalz;5;;8;
MF-22436;Citrus Mix - Pod Salt X 10ml Liquid, 20mg Nikotinsalz;3;;11;3
MF-22437.2;Blueberry - Zazo Classics Liquid 10ml, 8 mg;1;2;13;14
MF-22438;Cherry - Zazo Classics Liquid 10ml, 12 mg;11;;9;
MF-22438.1;Cherry - Zazo Classics Liquid 10ml, 4 mg;5;3;10;5
MF-22438.2;Cherry - Zazo Classics Liquid 10ml, 8 mg;8;6;9;
MF-22439;Fresh Mint - Zazo Classics Liquid 10ml, 12 mg;2;7;10;6
MF-22439.1;Fresh Mint - Zazo Classics Liquid 10ml, 4 mg;2;7;10;5
MF-22439.2;Fresh Mint - Zazo Classics Liquid 10ml, 8 mg;11;3;7;7
MF-22440;Menthol - Zazo Classics Liquid 10ml, 12 mg;10;2;;12
MF-22440.1;Menthol - Zazo Classics Liquid 10ml, 4 mg;20;26;10;14
MF-22440.2;Menthol - Zazo Classics Liquid 10ml, 8 mg;25;5;13;20
MF-22441;Tobacco 1 - Zazo Classics Liquid 10ml, 12 mg;1;6;;
MF-22442;Tobacco 3 - Zazo Classics Liquid 10ml, 12 mg;8;12;19;10
MF-22442.1;Tobacco 3 - Zazo Classics Liquid 10ml, 4 mg;3;6;10;13
MF-22442.2;Tobacco 3 - Zazo Classics Liquid 10ml, 8 mg;3;;23;18
MF-22443;Tobacco 4 - Zazo Classics Liquid 10ml, 12 mg;15;20;2;
MF-22443.1;Tobacco 4 - Zazo Classics Liquid 10ml, 4 mg;20;20;5;15
MF-22443.2;Tobacco 4 - Zazo Classics Liquid 10ml, 8 mg;3;8;7;11
MF-22444;Mixed Berries Ice - Pod Salt Core 10ml Liquid, 20mg Nikotinsalz;18;3;4;3
MF-22445;Blue Razapple Ice - Pod Salt Fusion 10ml Liquid, 20mg Nikotinsalz;14;2;5;3
MF-22446.1;Uwell Caliburn GK2 Vision Pod Kit, limpid-pink;4;1;;8
MF-22446.4;Uwell Caliburn GK2 Vision Pod Kit, limpid-cyan;2;9;6;
MF-22446.5;Uwell Caliburn GK2 Vision Pod Kit, limpid-black;5;13;6;5
MF-22452;Eleaf IORE Crayon Ersatzpod 2st.;12;8;;
MF-22453;BP Mods Tomahawk SBS Mod, Bushido Black;5;;;
MF-22453.1;BP Mods Tomahawk SBS Mod, Everglade Green;3;1;;
MF-22453.2;BP Mods Tomahawk SBS Mod, Moonlight Silver;1;1;2;1
MF-22453.3;BP Mods Tomahawk SBS Mod, BPMods Tangerine;1;;;
MF-22454;BP Mods Squonk Adapter;5;;;
MF-22455;DOVPO Tribute Box Mod, Silver Grey;3;;2;1
MF-22455.1;DOVPO Tribute Box Mod, Black Gunmetal;4;;3;2
MF-22456.1;Linvo Bar Lite 0mg Einweg E-Zigarette, Mango Ice;4;;;
MF-22456.2;Linvo Bar Lite 0mg Einweg E-Zigarette, Cherry Cola Ice;1;;3;
MF-22456.3;Linvo Bar Lite 0mg Einweg E-Zigarette, Menthol Breeze;1;;;
MF-22456.4;Linvo Bar Lite 0mg Einweg E-Zigarette, Mango Apple Pear;2;;3;2
MF-22457;DotMod dotPod S Kit, Black;4;1;;
MF-22457.1;DotMod dotPod S Kit, Orange;2;1;;
MF-22457.2;DotMod dotPod S Kit, Royal Blue;1;4;;
MF-22457.4;DotMod dotPod S Kit, Grey;1;3;;
MF-22458;Smok Novo 2C Pod Kit, Rose Gold;3;2;;
MF-22459;Smok Novo 2X Meshed Pod 2ml 3er Pack, 0,8 Ohm Mesh Pod;1;3;1;1
MF-22459.1;Smok Novo 2X Meshed Pod 2ml 3er Pack, 0,9 Ohm Mesh Pod;1;2;0;
MF-22460;Smok Novo 5 Meshed Pod 0,7 Ohm 3er Pack;9;6;4;
MF-22461;Smok Novo 5 Pod Kit, Brown Leather;2;;;
MF-22461.1;Smok Novo 5 Pod Kit, Black Carbon Fiber;1;1;1;
MF-22461.10;Smok Novo 5 Pod Kit, White Cobra;1;;;
MF-22461.2;Smok Novo 5 Pod Kit, Grey Leather;1;;1;
MF-22461.4;Smok Novo 5 Pod Kit, Fluid Rainbow;1;;;
MF-22461.5;Smok Novo 5 Pod Kit, Red Stabilizing Wood;1;;;1
MF-22461.7;Smok Novo 5 Pod Kit, Silver Black Cobra;1;;0;
MF-22462;OXVA Xlim Pro Kit, Black Gold;4;5;4;9
MF-22462.1;OXVA Xlim Pro Kit, Black Carbon;9;6;10;16
